Q124099328,"født: 7-11-1944 i Stockholm, Sverige Død: 26-2-1974 (29 år) Gravsted: Garnisons Kirkegård - Kbh"
Q124099331,født: 25-6-1951 Død: 20-11-2017 (66 år) Gravsted: Frederiksberg Kirkegård - Kbh
Q124099339,født: 25-5-1880 i København Død: 5-5-1952 (71 år) Gravsted: Vestre Kirkegård - Kbh
Q124099368,født: 18-12-1928 Død: 20-10-2015 (86 år) Gravsted: Manglende oplysning
Q124099395,født: 17-9-1923 i Århus Død: 29-6-1975 (51 år) Gravsted: Manglende oplysning
Q124099263,født: 19-9-1921 i Århus Død: 7-2-1946 (24 år) Gravsted: Århus Vestre Kirkegård
Q124099266,født: 15-11-1889 i København Død: 25-9-1963 (73 år) Gravsted: Manglende oplysning
Q124099272,født: 30-8-1897 i Helsingør Død: 10-5-1944 (46 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099273,født: 21-9-1922 i København Død: 22-4-1986 (63 år) Gravsted: Garnisons Kirkegård - Kbh
Q124099295,"født: 17-3-1900 i Brasholt, Lindal sogn Død: 29-3-1975 (75 år) Gravsted: Sundby Kirkegård - Kbh"
Q124099297,født: 18-12-1886 i København Død: 20-10-1971 (84 år) Gravsted: Søndermark Kirkegård - Frederiksberg
Q124099330,født: 16-8-1929 i København Død: 6-5-2007 (77 år) Gravsted: Helsingør Kirkegård - Nordsjælland (fællesgrav)
Q124099338,født: 5-2-1886 i København Død: 19-4-1978 (92 år) Gravsted: Garnisons Kirkegård - Kbh
Q124099343,født: 2-10-1902 i Odense Død: 30-11-1995 (93 år) Gravsted: Odense - Assistenskirkegården
Q124099345,født: 24-12-1907 i Hvam sogn v/ Aalestrup Død: 30-10-1980 (72 år) Gravsted: Mariebjerg Kirkegård - Gentofte (fællesgrav)
Q124099346,født: 18-2-1931 Død: 8-2-2016 (84 år) Mindebog Gravsted: Manglende oplysning
Q124099347,født: 26-4-1953 Død: 16-1-2008 (54 år) Gravsted: Manglende oplysning
Q124099358,født: 15-7-1949 Død: 16-10-1983 (34 år) Gravsted: Sundby Kirkegård - Kbh
Q124099372,født: 31-3-1902 i Frederiksberg Død: 31-1-1960 (57 år) Gravsted: Vestre Kirkegård - Kbh
Q124099376,født: 17-7-1918 i Hammer sogn v/ Aalborg Død: 6-6-1989 (70 år) Gravsted: Bispebjerg Kirkegård - Kbh (fællesgrav)
Q124099379,født: 13-11-1928 i Århus Død: 18-7-2002 (73 år) Gravsted: Manglende oplysning
Q124099386,født: 14-5-1939 i København Død: 25-12-2006 (67 år) Gravsted: Manglende oplysning
Q124099406,født: 17-7-1859 i København Død: 25-10-1942 (83 år) Gravsted: Frederiksberg Kirkegård - Kbh
Q124099260,født: 27-6-1888 i København Død: 14-9-1951 (63 år) Gravsted: Svendborg Kirkegård (urnehal)
Q124099271,født: 7-11-1943 Død: 18-3-2006 (62 år) Gravsted: Manglende oplysning
Q124099276,"født: 7-3-1935 i Århus Død: 4-3-1975 (39 år) Gravsted: Langesø Skovkapel Kirkegård, Fyn"
Q124099285,født: 22-1-1930 i København Død: 10-2-2005 (75 år) Gravsted: Manglende oplysning
Q124099296,"født: 18-3-1938 i Hälsingborg, Sverige Død: 12-11-1983 (45 år) Gravsted: Manglende oplysning"
Q124099305,født: 8-6-1899 i Helsingør Død: 16-11-1954 (55 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099312,"født: 13-12-1906 i Uddingston, Lanarkshire, Skotland Død: 26-9-1968 (61 år) Gravsted: Fårevejle Kirkegård"
Q124099314,født: 13-9-1871 i København Død: 16-11-1950 (79 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099317,født: 21-6-1891 i Skive Død: 21-4-1988 (96 år) Gravsted: Vor Frelsers Kirkegård - Kbh
Q124099351,født: 25-9-1944 Død: 21-9-2021 (76 år) Gravsted: Manglende oplysning
Q124099365,født: 5-7-1921 i København Død: 13-8-1979 (58 år) Gravsted: Manglende oplysning
Q124099390,"født: 13-2-1920 i Stavanger, Norge Død: 15-6-2015 (95 år) Gravsted: Egersund Kirkegård, Norge"
Q124099394,født: 6-7-1915 i København Død: 10-2-1991 (75 år) Gravsted: Bispebjerg Kirkegård (fællesgrav)
Q124099398,født: 3-2-1893 i København Død: 30-3-1981 (88 år) Gravsted: Lynæs Kirkegård
Q124099416,født: 12-10-1890 i Slagelse Død: 7-11-1948 (58 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099275,født: 1-3-1905 i København Død: 24-8-1989 (84 år) Gravsted: Hellerup Kirkegård - Kbh (fællesgrav)
Q124099283,født: 19-10-1900 i Frederiksberg Død: 7-3-1996 (95 år) Gravsted: Manglende oplysning
Q124099300,født: 6-10-1901 i København Død: 7-12-1935 (34 år) Gravsted: Århus Vestre Kirkegård
